kernel,tn,fp,fn,tp,accuracy,precision,recall,f1
rbf,33,4,8,18,80.95238095238095,81.81818181818183,69.23076923076923,75.00000000000001
linear,33,4,8,18,80.95238095238095,81.81818181818183,69.23076923076923,75.00000000000001
poly,37,0,20,6,68.25396825396825,100.0,23.076923076923077,37.5
